,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Sex_F,Sex_I,Sex_M,Rings
1451,0.3127467354995445,0.2932236724477025,0.32543185411615705,0.2819889865817957,0.2928659701965238,0.24604817577487215,0.23923436523169073,0,1,0,0.6076913094232076
2714,0.11915426662617673,0.10298587520114427,0.15437715395680435,0.09956374254782671,0.10986078918532136,0.08447273520622921,0.0864236479262792,0,1,0,0.46759667106160613
3191,0.6329714546006682,0.625067048095834,0.6404030666520418,0.6024115374117407,0.5584209819249518,0.5898371702172166,0.5395677465959753,0,0,1,0.7541245993652368
2246,0.21071211661099304,0.2445914536027177,0.32543185411615705,0.22325755918272408,0.21457705854974676,0.20563816278581956,0.21152997108246216,1,0,0,0.6747753442237537
841,0.36349832979046465,0.3935276238154835,0.3884848534591431,0.41035948052567267,0.40583047501851455,0.301275973663539,0.34807238928385287,1,0,0,0.6430545678489118
1363,0.5564454904342545,0.4755348948089874,0.49920887292823485,0.4519803822658123,0.4566755208564113,0.3830802956607813,0.38753398191972316,0,0,1,0.6747753442237537
3809,0.4020270270270271,0.3280290839740151,0.43196504500912714,0.3254090175325795,0.31396197284459254,0.2818095214890597,0.2966738658310232,1,0,0,0.6076913094232076
1519,0.673056483449742,0.6128493950771797,0.6162836351864006,0.6606418189378787,0.6075246019333346,0.7002432735199222,0.48352476641324577,0,0,1,0.6747753442237537
3400,0.4179699362283633,0.4335776863937063,0.43196504500912714,0.4547926909671512,0.3632335051545675,0.42861970662275123,0.38753398191972316,0,0,1,0.6747753442237537
2348,0.4099605223200729,0.4335776863937063,0.5687351676983919,0.44968903657074705,0.43511862351820907,0.39854221200408346,0.3891354511806698,0,0,1,0.8172883020556516
1272,0.334041907075615,0.2932236724477025,0.28494064551835263,0.3111961616909153,0.3416861958366759,0.23716189993943473,0.2590479563130479,0,1,0,0.6076913094232076
